title,year,venue,music,lyrics,book,notes
The Ten Commandments: The Musical,2004,Off-Off-Broadway,Patrick Leonard,Maribeth Derry,Élie Chouraqui,
The Thing About Men,2003,Off-Broadway,Jimmy Roberts,Joe DiPietro,DiPietro,
Tenacious D in The Pick of Destiny,2006,Musical film,Tenacious D,Tenacious D,"Jack Black, Kyle Gass and Liam Lynch",
Tenderloin,1960,Broadway,Jerry Bock,Sheldon Harnick,George Abbott and Jerome Weidman,
Texas Li'l Darlin',1949,Broadway,Robert Emmett Dolan,Johnny Mercer,John Whedon and Sam Moore,
That Midnight Kiss,1949,Musical film,Charles Previn,Conrad Salinger,Bruce Manning and Tamara Hovey,
The Travelling,2009,Off-Broadway,Simon R Holt,Chris Kabay,Kabay,
They're Playing Our Song,1979,Broadway,Marvin Hamlisch,Carole Bayer Sager,Neil Simon,
Thoroughly Modern Millie,2002,Broadway,Jeanine Tesori,Dick Scanlan,Richard Morris and Scanlan,"Based on the film of the same name. Notable songs: ""Thoroughly Modern Millie"" and ""Forget About the Boy""."
Thou Shalt Not,2001,Broadway,"Harry Connick, Jr.","Connick, Jr.",David Thompson,
The Three Caballeros,1945,Musical film,"Edward H. Plumb, Paul J. Smith and Charles Wolcott","Plumb, Smith and Wolcott",Various writers,"Notable songs: ""The Three Caballeros"" and ""You Belong to My Heart""."
Three Postcards,1987,Off-Broadway,Craig Carnelia,Carnelia,Craig Lucas,
Three Wishes for Jamie,1952,Broadway,Ralph Blane,Blane,Charles O'Neal and Abe Burrows,
The Threepenny Opera,1928,German musical,Kurt Weill,Bertolt Brecht,Brecht,"Notable songs: ""Mack the Knife"" and ""Pirate Jenny""."
"Tick, Tick... Boom!",2001,Off-Broadway,Jonathan Larson,Larson,Larson and David Auburn,
"Tickets, Please!",1950,Broadway revue,Various artists,Various artists,N/A,
Tickle Me,1920,Broadway,Herbert Stothart,"Oscar Hammerstein II, Otto Harbach and Frank Mandel","Hammerstein, Harbach and Mandel",
The Tigger Movie,2000,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Jun Falkenstein,
Timbuktu!,1978,Broadway,George Forrest and Robert Wright,Forrest and Wright,Luther Davis,
Tintypes,1980,Broadway revue,Various artists,Various artists,Mel Marvin and Gary Pearle,
Titanic,1997,Broadway,Maury Yeston,Yeston,Peter Stone,
title of show,2008,Broadway,Jeff Bowen,Bowen,Hunter Bell,
The Adventures of Tom Sawyer,1973,Musical film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Sherman and Sherman,
Tomorrow Morning,2008,West End,Laurence Mark Wythe,Wythe,Wythe,
Tonight's the Night,2003,West End Jukebox musical,Rod Stewart,Stewart,Ben Elton,
Too Close to the Sun,2009,West End,John Robinson,Robinson and Roberto Trippini,Trippini,
Too Many Girls,1939,Broadway,Richard Rodgers,Lorenz Hart,George Marion Jr.,
Top Banana,1951,Broadway,Johnny Mercer,Mercer,Hy Kraft,
Top Hat,2011,West End,Irving Berlin,Berlin,Matthew White and Howard Jacques,"Based on the film of the same name. Notable song: ""Cheek to Cheek""."
Tovarich,1963,Broadway,Lee Pockriss,Anne Croswell,David Shaw,
The Toxic Avenger,2008,Off-Broadway,David Bryan,Joe DiPietro and Bryan,DiPietro,
A Tree Grows in Brooklyn,1951,Broadway,Arthur Schwartz,Dorothy Fields,George Abbott and Betty Smith,
Triumph of Love,1997,Broadway,Jeffrey Stock,Susan Birkenhead,James Magruder,
Turkish Delight the Opera,2006,Off-West End,Giles Howe and Katy Lipson,Howe and Lipson,Howe and Lipson,
Twang!!,1965,West End,Lionel Bart,Lionel Bart,,
Twisted,2013,Off-Off-Broadway,A.J. Holmes,Kaley McMahon,"Matt Lang, Nick Lang, and Eric Kahn Gale",
Two by Two,1970,Broadway,Richard Rodgers,Martin Charnin,Peter Stone,
Two Gentlemen of Verona,1971,Broadway,Galt McDermot,John Guare and Mel Shapiro,Guare and Shapiro,
Two on the Aisle,1951,Broadway revue,Jule Styne,Betty Comden and Adolph Green,Comden and Green,
Two's Company,1952,Broadway revue,Vernon Duke,Ogden Nash and Sammy Cahn,Charles Sherman and Peter DeVries,
Two Cities,2006,Off-Broadway,Howard Goodall,Goodall,Goodall and Joanna Read,
The Umbrellas of Cherbourg,1964,Musical film,Michel Legrand,Legrand,Jacques Demy,
The Unsinkable Molly Brown,1960,Broadway,Meredith Willson,Willson,Richard Morris,
Unwritten Rules,2007,Off-Broadway,Danny Abosch,Abosch,Abosch and Tommy Nolan,
Urinetown: The Musical,2001,Off-Broadway,Mark Hollmann,Hollman and Greg Kotis,Kotis,
Urban Cowboy,2003,Broadway,Jason Robert Brown and Jeff Blumenkrantz,Robert Brown and Blumenkrantz,Aaron Latham and Phillip Oesterman\,
Ushers: The Front of House Musical,2013,Off West End,Yiannis Koutsakos,James Oban,James Rottger
The Utter Glory of Morrissey Hall,1979,Broadway,Clark Gesner,Gesner,Gesner and Nagle Jackson,
The Versailles Necklace,2008,Off-Broadway,Ben Ratskoff,Jeff Dennhardt,Dennhardt and Ratskoff,
"Very Good, Eddie",1915,Broadway,Jerome Kern,Schuyler Green and Herbert Reynolds,Philip Bartholomae and Guy Bolton,
A Very Merry Unauthorized Children's Scientology Pageant,2003,Off-Off-Broadway,Kyle Jarrow,Jarrow,Jarrow,
Very Warm for May,1939,Broadway,Jerome Kern,Oscar Hammerstein II,Hammerstein II,"Notable song: ""All the Things You Are""."
Victor/Victoria,1995,Broadway,Henry Mancini and Frank Wildhorn,Leslie Bricusse and Wildhorn,Blake Edwards,Adapted from the 1982 film.
Violet,2014,Broadway,Jeanine Tesori,Brian Crawley,Crawley,
Vivir Intentando,2003,Musical film,Fernando López Rossi and Diego Grimblat,López Rossi and Grimblat,"Carolina Hughes, Alejandro Sapognikoff and Tomás Yankelevich",
Wait a Minim!,1964,West End revue,Jeremy Taylor,Taylor,Leon Gluckman,
Waitress,2015,Off-Broadway,Sara Bareilles,Sara Bareilles,Jessie Nelson,
Walk a Little Faster,1932,Broadway revue,Vernon Duke,E. Y. Harburg,S. J. Perelman and Robert MacGunigle,
Walking Happy,1966,Broadway,Jimmy Van Heusen,Sammy Cahn,Roger O. Hirson and Ketti Frings,
Walmartopia,2005,Off-Broadway,Andrew Rohn,Rohn,Catherine Capellaro,
We Will Rock You,2002,West End Jukebox musical,Queen,Queen and Ben Elton,Elton,
The Wedding Singer,2006,Broadway,Matthew Sklar,Chad Beguelin,Beguelin and Tim Herlihy,
Welcome to the Voice,2000,Off-Off-Broadway,Steve Nieve,Muriel Teodori,Teodori,
The Well of Romance,1930,Broadway,H. Maurice Jacquet,Preston Sturges,Sturges,
Were the World Mine,2008,Musical film,Jessica Fogle,Fogle,Tom Gustafson and Cory James Krueckeberg,
West Side Story,1957,Broadway,Leonard Bernstein,Stephen Sondheim,Arthur Laurents,"Notable songs: ""Tonight Quintet"", ""America"" and ""Somewhere""."
Wetion,2013,Canadian Musical,James Allan Krause,Krause,Wetion,"Notable songs: ""Eve Ada, Ada Eve"" and ""We are Where We've Been""."
What Makes Sammy Run?,1964,Broadway,Ervin Drake and Budd Schulberg,Drake and Schulberg,Stuart Schulberg,"Notable song: ""A Room Without Windows""."
Where's Charley?,1948,Broadway,Frank Loesser,Loesser,George Abbott,"Notable song: ""Once in Love with Amy""."
Whistle Down the Wind,1998,West End,Andrew Lloyd Webber,Jim Steinman,"Patricia Knop, Lloyd Webber and Gale Edwards",
White Christmas,2004,Off-Broadway,Irving Berlin,Berlin,David Ives and Paul Blake,
Whoop Up,1958,Broadway,Mark Charlap,Norman Gimbel,Cy Feuer and Ernest Martin,
Whoopee!,1928,Broadway,Walter Donaldson,Gus Kahn,William Anthony McGuire,"Notable song: ""Makin' Whoopee""."
The Who's Tommy,1993,Broadway,Pete Townshend,Townshend,Townshend and Des McAnuff,"Notable song: ""Pinball Wizard""."
Wicked,2003,Broadway,Stephen Schwartz,Schwartz,Winnie Holzman,"Notable songs: ""Popular"", ""For Good"" and ""Defying Gravity"""
Wildcat,1960,Broadway,Cy Coleman,Carolyn Leigh,N. Richard Nash,
The Wild Party,2000,Off-Broadway,Andrew Lippa,Lippa,Lippa,
The Wild Party,2000,Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
The Will Rogers Follies,1991,Broadway,Cy Coleman,Betty Comden and Adolph Green,Comden and Green,
Willy Wonka & the Chocolate Factory,1971,Musical film,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Roald Dahl,"Notable songs: ""The Candy Man"" and ""Pure Imagination""."
Willy Wonka,2004,Off-Off-Broadway,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Tim McDonald,
Willy Wonka Junior,2004,Off-Off-Broadway,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Tim McDonald,
The Wind in the Willows,1986,Broadway,William Perry,Roger McGough and William Perry,Jane Iredale,
The Wind Road Boys,2012,British Musical,Paul Flynn,Paul Flynn,Paul Flynn,
Winnie the Pooh and the Blustery Day,1968,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Ralph Wright,
Winnie the Pooh and a Day for Eeyore,1983,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,"Peter Young, Steve Hulett and Tony L. Marino",
Winnie the Pooh and the Honey Tree,1966,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Ralph Wright and Ken Anderson,
Winnie the Pooh and Tigger Too,1974,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,"Larry Clemmons, Ted Berman and Eric Cleworth",
Wish You Were Here,1952,Broadway,Harold Rome,Rome,Arthur Kober and Joshua Logan,
The Witches of Eastwick,2000,West End,Dana P. Rowe,John Dempsey,Dempsey,
The Wiz,1975,Broadway,Charlie Smalls and Luther Vandross,Smalls and Vandross,William F. Brown,"Notable song: ""Ease on Down the Road"""
The Wiz,1978,Musical film,Joel Schumacher,
The Wizard of Oz,1902,Off-Broadway,Various artists,Various artists,L. Frank Baum and Glen MacDonough,
The Wizard of Oz,1939,Musical film,Harold Arlen,E. Y. Harburg,"Noel Langley, Florence Ryerson and Edgar Allan Woolf","Notable song: ""Over the Rainbow""."
The Wizard of Oz,1942,Off-Off-Broadway,Frank Gabrielson,
The Wizard of Oz,1987,West End,Harold Arlen and Herbert Stothart,John Kane,
The Wizard of Oz,2011,West End,Harold Arlen and Andrew Lloyd Webber,E. Y. Harburg and Tim Rice,Andrew Lloyd Webber and Jeremy Sams,
The Woman in White,2004,West End,Andrew Lloyd Webber,David Zippel,Charlotte Jones,
Woman of the Year,1981,Broadway,John Kander,Fred Ebb,Peter Stone,
A Wonderful Life,1991,Off-Off-Broadway,Joe Raposo,Sheldon Harnick,Harnick,
Wonderful Town,1953,Broadway,Leonard Bernstein,Betty Comden and Adolph Green,Joseph Fields and Jerome Chodorov,
The Wonderful Wizard of Oz,2000,Off-Off-Broadway,James Patrick Doyle,Doyle and Joe Cascone,Cascone,
Wonderland,2011,Broadway,Frank Wildhorn,Jack Murphy,Murphy and Gregory Boyd,"Notable song: ""I Will Prevail""."
Words and Music,1932,West End revue,Noël Coward,Coward,Coward,
Working,1978,Broadway revue,Various artists,Various artists,Stephen Schwartz and Nina Faso,
Wuthering Heights,1992,Concept album,Bernard J. Taylor,Taylor,N/A,
Xanadu,2007,Broadway,Jeff Lynne and John Farrar,Lynne and Farrar,Douglas Carter Beane,Based on the 1980 film.
A Year with Frog and Toad,2003,Off-Broadway,Robert Reale,Willie Reale,Reale,
Yellow Submarine,1968,Musical film,The Beatles and George Martin,The Beatles and Martin,Various writers,
Yentl,1983,Musical film,Michel Legrand and Alan Bergman,Marilyn Bergman,Barbra Streisand and Jack Rosenthal,
Yes Nurse! No Nurse!,2002,Musical film,Pelle Bolander and Raymund van Santen,Bolander and van Santen,Pieter Kramer and Frank Houtappels,
You Said It,1931,Broadway,Harold Arlen,Jack Yellen,Yellen and Sid Silvers,
"You're a Good Man, Charlie Brown",1971/1999,Broadway,Clark Gesner and Andrew Lippa,Gesner and Lippa,John Gordon,
Young Frankenstein,2007,Broadway,Mel Brooks,Brooks,Thomas Meehan and Brooks,
Your Own Thing,1968,Off-Broadway,Hal Hester and Danny Apolinar,Hester and Apolinar,Donald Driver,
The Yeomen of the Guard,1888,West End,Arthur Sullivan,W. S. Gilbert,Gilbert and Sullivan,
"Zanna, Don't!",2002,Off-Broadway,Tim Acito,Acito and Alexander Dinelaris,Acito and Dinelaris,"Notable songs: ""I Could Write Books"" and ""Blow Winds""."
Zenda,1963,Off-Broadway,Vernon Duke,"Lenny Adelson, Sid Kuller and Martin Charnin",Everett Freeman,Musical adaptation of the Anthony Hope novel The Prisoner of Zenda.
Ziegfeld Follies,1946,Musical film,Various artists,Various artists,David Freedman,
Ziegfeld Follies of 1909,1909,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1910,1910,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1911,1911,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1912,1912,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1913,1913,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1914,1914,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1915,1915,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1917,1917,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1919,1919,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1920,1920,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1921,1921,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1922,1922,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1923,1923,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1924,1924,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1927,1927,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1931,1931,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1934,1934,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1936,1936,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1943,1943,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Follies of 1958,1958,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Girl,1941,Musical film,Herbert Stothart,Stothart,William Anthony McGuire,
Ziegfeld Girls of 1920,1920,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1917,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1918,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1919,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1920,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1921,Broadway revue,Various artists,Various artists,N/A,
Ziegfeld Midnight Frolic,1928,Broadway revue,Various artists,Various artists,N/A,
Zig-Zag is not a film,1917,West End revue,Dave Stamper,Gene Buck,N/A,
Zip Goes a Million,1951,West End,George Posford,Eric Maschwitz,Maschwitz,
Zipp!,2003,West End revue,Various artists,Various artists,Gyles Brandreth and Stewart Nicholls,
Zombie Prom,1993,Off-Broadway,Dana P. Rowe,John Dempsey,Dempsey,
Zombies from The Beyond,1995,Off-Broadway,James Valcq,Valcq,Valcq,
The Zoo,1875,West End,Arthur Sullivan,B. C. Stephenson,Stephenson,
Zorba,1968,Broadway,John Kander,Fred Ebb,Joseph Stein,
Zorro,2008,West End,Gipsy Kings and John Cameron,Stephen Clark,
Zuleika,1954,Off-West End,Peter Tranchell,James Ferman,Ferman,
